order_ref,start_time,stop_time,is_failure,order_api_stop_time
CC-16-zoewoozuqb,1496017851067,1496017846776,false,1496017851259
CC-5-imuququifl,1496017848241,1496017843893,false,1496017848418
CC-1-nhqbufrlil,1496017847165,1496017842627,false,1496017847394
CC-9-onfbxvrrui,1496017849303,1496017845222,false,1496017849516
CC-20-hulcebrrbn,1496017852134,1496017848064,false,1496017852348
CC-12-lsrqdamjga,1496017850008,1496017845565,false,1496017850208
CC-7-bujjvajnqj,1496017853587,1496017849373,false,1496017853797
CC-26-uzgajjcjmb,1496017862091,1496017857808,false,1496017862208
CC-11-rmrdocleds,1496017857633,1496017853058,false,1496017857817
CC-15-dqqtmtpihx,1496017861664,1496017857584,false,1496017862076
CC-18-ncdzgwkujx,1496017864343,1496017860219,false,1496017864565
CC-13-wsfjynspxa,1496017859177,1496017854961,false,1496017859583
CC-3-mokzxbmtyt,1496017855287,1496017850838,false,1496017855470
CC-8-brsxxxzdvq,1496017867453,1496017863395,false,1496017867653
CC-4-nmuoajinaj,1496017871403,1496017867045,false,1496017871595
CC-17-avefgosnwr,1496017875750,1496017871580,false,1496017875949
CC-10-kuqfrgmpvs,1496017869102,1496017865129,false,1496017869319
CC-33-iajjczlzhw,1496017873103,1496017868597,false,1496017873210
CC-14-ybtyviwsfk,1496017872903,1496017868526,false,1496017873091
CC-35-oupitsemvn,1496017875957,1496017872084,false,1496017876080
CC-36-hntmcozjkr,1496017876089,1496017872268,false,1496017876209
CC-6-nrfkubxloc,1496017866019,1496017861856,false,1496017866272
CC-23-ilcecpybyn,1496017882611,1496017878221,false,1496017882790
CC-22-kempflckvj,1496017881003,1496017876507,false,1496017881193
CC-2-kppadzeulm,1496017886527,1496017883182,false,1496017888407
CC-24-npjznfkyoo,1496017884867,1496017880493,false,1496017885048
CC-41-ircpbyhxda,1496017885055,1496017880406,false,1496017885158
CC-21-vrmwsygpwk,1496017879593,1496017875034,false,1496017879782
CC-43-bqdkdxessz,1496017888415,1496017883913,false,1496017888513
CC-37-lnnnjpsvpe,1496017890531,1496017886293,false,1496017890670
CC-39-mlnjtlfjdb,1496017895402,1496017891295,false,1496017895585
CC-32-qiupqmhwtj,1496017896971,1496017892418,false,1496017897088
CC-38-ahsgpeydov,1496017894033,1496017889942,false,1496017894301
CC-40-ddwwfpalic,1496017896971,1496017892969,false,1496017897124
CC-49-ldngigbeqv,1496017897095,1496017892967,false,1496017897231
CC-34-cloxpwrepw,1496017899676,1496017895240,false,1496017899809
CC-45-gchudmzkal,1496017903616,1496017899241,false,1496017903752
CC-19-kspzrokjmr,1496017889337,1496017885480,false,1496017890537
CC-28-dgfkqcstuk,1496017902426,1496017898212,false,1496017902576
CC-30-owhudhngwi,1496017907018,1496017902920,false,1496017907169
CC-31-pvokrheget,1496017908366,1496017903735,false,1496017908475
CC-25-fxthbryhni,1496017908994,1496017904607,false,1496017909119
CC-57-iuwrmofnfh,1496017909127,1496017904841,false,1496017909243
CC-51-qafybglaix,1496017911090,1496017907509,false,1496017911203
CC-52-pdgcrbiexc,1496017913623,1496017909056,false,1496017913735
CC-53-ijdlvlltny,1496017916329,1496017912165,false,1496017916460
CC-55-ywdjtsfhyf,1496017920813,1496017916816,false,1496017921244
CC-63-erpwehjdaj,1496017921252,1496017916809,false,1496017921354
CC-44-heyerhhayv,1496017926237,1496017921876,false,1496017926417
CC-29-shtnomnvdd,1496017928886,1496017924832,false,1496017929099
CC-58-tlgmmmsigy,1496017922847,1496017918781,false,1496017923070
CC-46-blgxlhogny,1496017928886,1496017924647,false,1496017929083
CC-65-kwocirufaz,1496017923077,1496017918702,false,1496017923195
CC-68-tlhjpttolw,1496017929089,1496017925342,false,1496017929217
CC-62-iruipjgedz,1496017931136,1496017926627,false,1496017931315
CC-56-fwmmccitul,1496017933720,1496017930564,false,1496017933951
CC-72-zaddbzztor,1496017933960,1496017929576,false,1496017934131
CC-54-kvkkpwixxh,1496017917480,1496017913113,false,1496017917692
CC-66-rwpcptdfqd,1496017936521,1496017932247,false,1496017936697
CC-73-qvldvtgkek,1496017934138,1496017929604,false,1496017934237
CC-67-etgmhxjczw,1496017939679,1496017935434,false,1496017939827
CC-27-xyrldydmpj,1496017935293,1496017931136,false,1496017935485
CC-47-gugbhyoiqa,1496017940529,1496017936355,false,1496017940747
CC-70-bikoroyiql,1496017942423,1496017938348,false,1496017942578
CC-71-saolcjmhcb,1496017944480,1496017939896,false,1496017944589
CC-42-sphdoldfql,1496017946208,1496017941719,false,1496017946389
CC-74-uzidwozmbx,1496017947344,1496017942916,false,1496017947466
CC-75-igvlppoznp,1496017948574,1496017944170,false,1496017948697
CC-76-tkpbhjrmpa,1496017949767,1496017945561,false,1496017950011
CC-84-vurltkkqcm,1496017950018,1496017945609,false,1496017950122
CC-86-mukyuaaoyy,1496017952876,1496017948747,false,1496017952994
CC-69-aigqisqllr,1496017952652,1496017948838,false,1496017952871
CC-87-swnnghpnjg,1496017953001,1496017950009,false,1496017953144
CC-50-ovfhmblmrc,1496017958227,1496017954136,false,1496017958384
CC-64-gdndcjpvid,1496017956532,1496017952146,false,1496017956715
CC-60-xhouftlicb,1496017960561,1496017956497,false,1496017960715
CC-59-bgutgcddyu,1496017959348,1496017955765,false,1496017959815
CC-61-yktqdvrrfr,1496017961734,1496017957107,false,1496017961853
CC-93-usfulsgbng,1496017961860,1496017957380,false,1496017961966
CC-78-tkrwqqjezv,1496017964568,1496017960450,false,1496017964781
CC-96-hdsimhvgzl,1496017965126,1496017961377,false,1496017965641
CC-89-cxzbmgobld,1496017969419,1496017965289,false,1496017969569
CC-79-xkxrmnyijj,1496017964902,1496017960811,false,1496017965108
CC-83-tyxruwncdm,1496017972344,1496017967992,false,1496017972522
CC-90-qwvubsqmkl,1496017971049,1496017967027,false,1496017971201
CC-94-xxcfcbfegv,1496017974579,1496017970149,false,1496017974708
CC-92-pmtjaemtzp,1496017973348,1496017968783,false,1496017973463
CC-88-rcfqbanfdy,1496017976623,1496017973989,false,1496017976771
CC-104-ncfpzrhmrf,1496017977041,1496017972828,false,1496017977150
CC-80-vmopdjsgij,1496017976827,1496017972837,false,1496017977035
CC-99-cgmrbxnjby,1496017983640,1496017979775,false,1496017983922
CC-107-vgshivmlij,1496017983929,1496017979653,false,1496017984049
CC-98-ebskplnsgw,1496017982046,1496017977852,false,1496017982196
CC-108-qckqlcabhg,1496017984055,1496017980410,false,1496017984190
CC-101-bvrqgfmtxs,1496017985869,1496017981211,false,1496017985973
CC-85-klwgimsklc,1496017985869,1496017981602,false,1496017986056
CC-111-jovyhfnwsp,1496017986063,1496017981475,false,1496017986173
CC-100-zvdeinsyti,1496017995344,1496017991235,false,1496017995511
CC-95-mvuhmoxrxy,1496017988150,1496017983806,false,1496017988283
CC-105-wlttwjwiyt,1496017989486,1496017985115,false,1496017989614
CC-110-pntjjiaqjm,1496017997368,1496017993252,false,1496017997517
CC-106-jrxuliuloe,1496017994447,1496017990131,false,1496017994586
CC-109-rwxjdwpxvm,1496017996410,1496017992223,false,1496017996553
CC-112-mqavegtxdp,1496017998360,1496017993819,false,1496017998518
CC-113-ufwxwxnuhf,1496018000440,1496017995924,false,1496018000557
CC-82-aosueakryu,1496018000811,1496017996259,false,1496018000983
CC-91-qyjabjagci,1496018005692,1496018001262,false,1496018005817
CC-116-dkucjlyjwy,1496018007551,1496018003203,false,1496018007694
CC-118-oiwutznhug,1496018009523,1496018005327,false,1496018009727
CC-102-uyppyrpwvw,1496018008571,1496018004045,false,1496018008744
CC-122-amtbfqrmod,1496018005823,1496018001695,false,1496018005948
CC-119-vfsfxqgxwt,1496018010514,1496018006390,false,1496018010657
CC-114-amarjsfksq,1496018011968,1496018007532,false,1496018012099
CC-120-rucqicplgg,1496018011968,1496018008010,false,1496018012145
CC-128-irjixtrmce,1496018012106,1496018007936,false,1496018012276
CC-115-zsuxhhphfz,1496018016775,1496018012502,false,1496018016931
CC-131-mubycdfafw,1496018016938,1496018012884,false,1496018017036
CC-124-hpeukostkv,1496018019548,1496018015185,false,1496018019669
CC-97-rmvgvglgvm,1496018021528,1496018017330,false,1496018021672
